,symbol,desc,close,trend,1w_change,1d_change,prev_wc,wc,prev_dc,dc,w_rev
0,^DJI,Dow Jones,32632.640625,DOWN,-0.0199,-0.0056,RED,RED,RED,RED,False
1,^IXIC,NASDAQ Composite,12795.551758,DOWN,-0.0545*,-0.0028,BLUE,RED,RED,RED,False
2,^GSPC,SP 500,4170.700195,DOWN,-0.0315,-0.0072,RED,RED,RED,RED,False
3,^HSI,HANG SENG INDEX,20765.869141,DOWN,-0.0877*,-0.0139,RED,RED,RED,RED,False
4,^N225,Nikkei 225,24790.949219,DOWN,-0.0765*,-0.0171,RED,RED,RED,RED,False
5,^GDAXI,DAX,12831.509766,DOWN,-0.0772*,-0.0002,RED,RED,RED,RED,False
6,^FTSE,FTSE 100,6964.109863,DOWN,-0.0499,0.0007,RED,RED,RED,RED,True*
7,^FCHI,CAC 40,5962.959961,DOWN,-0.0678*,-0.0032,RED,RED,RED,RED,False
8,000001.SS,SSE Composite Index,3293.530029,NaN,-0.0560*,-0.0235,BLACK,BLACK,RED,RED,False
9,^VIX,Volatility Index,35.130001,UP,0.0543*,-0.0362,GREEN,GREEN,GREEN,GREEN,False
10,GC=F,GOLD,2056.800049,UP,0.0589*,0.0315,GREEN,GREEN,GREEN,GREEN,False
11,CL=F,OIL,125.25,UP,0.2112*,0.0490,GREEN,GREEN,GREEN,GREEN,False
12,HG=F,COPPER,4.762,UP,0.0383,0.0085,GREEN,GREEN,BLUE,BLUE,False
13,BTC-USD,Bitcoin,38655.539063,DOWN,-0.1285*,0.0156,BLUE,BLUE,RED,RED,False
14,ETH-USD,Ethereum,2575.344971,DOWN,-0.1336*,0.0311,BLUE,BLUE,RED,BLUE*,False
